title,photo_url,res1,res2,res3,res4,mos1,mos2,mos3,mos4,final_mos
  a pixelated tree with a green leaf,https://storage.yandexcloud.net/svg-images-first-pack/goodalpinelandscapemountainbonsai01cal1svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the logo for the company is red and white,https://storage.yandexcloud.net/svg-images-first-pack/goodchsymsphbuoyswmcsvg.png,4.0,2.0,1.0,3.0,4.5,3.5,3.0,4.0,3.75
  a letter i with green and pink dots,https://storage.yandexcloud.net/svg-images-first-pack/good15286127661svg.png,3.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbrokengunrifflestickmansvg.png,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0
  an octopus with eyes and tentacles,https://storage.yandexcloud.net/svg-images-first-pack/good1475316865svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black and white image of a circle,https://storage.yandexcloud.net/svg-images-first-pack/good1534344154svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black and white picture of a flower,https://storage.yandexcloud.net/svg-images-first-pack/goodcartoonflowergirlsvg.png,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.25
  a yellow seven ball with the number seven in the center,https://storage.yandexcloud.net/svg-images-first-pack/goodbiliardballsevensvg.png,1.0,1.0,1.0,1.0,3.0,2.5,2.0,2.0,2.375
  a green box with the word 2013 on it,https://storage.yandexcloud.net/svg-images-first-pack/good3dboxsvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCambodiaFOSSASIA2svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1430716157svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a little girl is sitting on a swing,https://storage.yandexcloud.net/svg-images-first-pack/good1547923169svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black and white drawing of a surfboard,https://storage.yandexcloud.net/svg-images-first-pack/good1451163734svg.png,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.25
  a cartoon man with his arms outstretched,https://storage.yandexcloud.net/svg-images-first-pack/goodbequietsvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  the caduceus symbol on a yellow background,https://storage.yandexcloud.net/svg-images-first-pack/good3rdMDSCSSIsvg.png,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodaigarightarrowsvg.png,5.0,5.0,5.0,5.0,3.0,3.0,3.5,3.0,3.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good05Genesis351503svg.png,5.0,2.0,3.0,1.0,3.0,1.5,3.0,1.0,2.125
  a black and white image of a train with the words three no,https://storage.yandexcloud.net/svg-images-first-pack/good1547041951svg.png,5.0,5.0,5.0,4.0,3.5,4.0,4.0,2.5,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1424849149svg.png,1.0,2.0,2.0,1.0,3.0,3.5,3.5,3.0,3.25
  a drawing of a plant with leaves and flowers,https://storage.yandexcloud.net/svg-images-first-pack/goodBallheadWaterleafsvg.png,5.0,5.0,4.0,4.0,4.5,3.5,3.0,3.5,3.625
  a cartoon elf with blue hair and green eyes,https://storage.yandexcloud.net/svg-images-first-pack/good1430973883svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1535913597svg.png,5.0,5.0,5.0,5.0,4.5,5.0,4.0,4.5,4.5
  a yellow construction machine with a large piece of metal on top,https://storage.yandexcloud.net/svg-images-first-pack/goodbulldocersvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a pencil with a number on it,https://storage.yandexcloud.net/svg-images-first-pack/good1505071970svg.png,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.25
"  the logo for kscm, a communist party in the united states",https://storage.yandexcloud.net/svg-images-first-pack/good1311349247svg.png,4.0,4.0,4.0,4.0,3.0,3.0,2.5,2.5,2.75
  chicken farm decal,https://storage.yandexcloud.net/svg-images-first-pack/goodcookiefarmsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  brunei flag vector,https://storage.yandexcloud.net/svg-images-first-pack/goodAnonymousflagofBruneiDarussalamsvg.png,4.0,4.0,4.0,4.0,3.0,2.5,2.5,2.5,2.625
  the digitalize digitalize logo,https://storage.yandexcloud.net/svg-images-first-pack/goodChrisdesigndigitalizefiltersvg.png,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0
  a cartoon black man with a blue mask,https://storage.yandexcloud.net/svg-images-first-pack/goodaquaherosvg.png,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.5
  a grey button with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1299764447svg.png,4.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,2.5
  a colorful flower design on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAngelDustsvg.png,4.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter153svg.png,3.0,4.0,3.0,4.0,2.0,2.5,2.0,2.5,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbraindiagramsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a cartoon boy in a red shirt standing in front of a flag,https://storage.yandexcloud.net/svg-images-first-pack/good1528519966svg.png,5.0,4.0,4.0,4.0,4.0,3.0,3.5,3.0,3.375
  a circle of colorful flowers is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1526108285svg.png,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbakery15svg.png,2.0,2.0,2.0,1.0,1.5,3.0,2.5,2.5,2.375
  a cartoon dog running in the snow at night,https://storage.yandexcloud.net/svg-images-first-pack/good1385715373svg.png,3.0,2.0,2.0,3.0,3.5,3.0,3.0,3.5,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1383633583svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good2013uusipaikallisuusheimosiipivalmiittortillatylivakkuricqxxxe1azphosvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticOrnamentv3byMerlin2525svg.png,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
  a diagram of the brain showing the location of the right hemisphere,https://storage.yandexcloud.net/svg-images-first-pack/good58294mainTheBraininSpacepage96brainsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbaldstashmansvg.png,5.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1529489882svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbookbluesvg.png,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
  the coat of arms of dominican republic,https://storage.yandexcloud.net/svg-images-first-pack/goodcapellan2000EscudoNacionalDominicanosvg.png,3.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,3.75
  a map of the country of malawi,https://storage.yandexcloud.net/svg-images-first-pack/good1325859984svg.png,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.75
  two men in suits talking to each other,https://storage.yandexcloud.net/svg-images-first-pack/good1543160800svg.png,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCircularOrnament28svg.png,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern240svg.png,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.25
  a cartoon chef cooking food in a pan,https://storage.yandexcloud.net/svg-images-first-pack/good1506736845svg.png,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.125
  a cartoon green face with a sad expression,https://storage.yandexcloud.net/svg-images-first-pack/good1286912745svg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  an anime character with green hair and blue eyes,https://storage.yandexcloud.net/svg-images-first-pack/goodAnimeBoysvg.png,3.0,3.0,3.0,3.0,4.0,4.0,3.5,3.5,3.75
  a colorful stack of papers on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1337425060svg.png,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.5
  a yellow can of gas with a black square,https://storage.yandexcloud.net/svg-images-first-pack/good1351496366svg.png,4.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.375
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern247svg.png,3.0,3.0,2.0,3.0,2.5,2.5,2.0,2.5,2.375
  a heart shaped knitted fabric with pink and red stripes,https://storage.yandexcloud.net/svg-images-first-pack/goodChequeredWoolHeartsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodBoyKickingBallsvg.png,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5
  a painting of a woman with long red hair standing in front of a castle,https://storage.yandexcloud.net/svg-images-first-pack/goodCassandraPaintingsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1555489547svg.png,1.0,3.0,1.0,5.0,1.0,3.0,1.0,5.0,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractDesign9svg.png,1.0,4.0,1.0,5.0,3.0,4.0,1.0,4.5,3.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1535777633svg.png,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,2.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1471618969svg.png,1.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCelticKnotMandala7svg.png,5.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.5
  a man in a blue shirt and black shorts is running,https://storage.yandexcloud.net/svg-images-first-pack/good1427059148svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a black and white illustration of a bicycle,https://storage.yandexcloud.net/svg-images-first-pack/goodbikeevolutionsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a digital camera with a lens and a flash,https://storage.yandexcloud.net/svg-images-first-pack/goodCameraDSLRsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  santa claus and christmas tree clip art,https://storage.yandexcloud.net/svg-images-first-pack/goodCHRISTMASSANTASsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a pink camera with a white background,https://storage.yandexcloud.net/svg-images-first-pack/goodcamera2svg.png,2.0,4.0,4.0,5.0,3.0,4.0,4.0,4.5,3.875
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcibo00AustralianCaveIllustrationsvg.png,2.0,4.0,4.0,5.0,3.0,4.0,4.0,4.5,3.875
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good0040awcoccinellesvg.png,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.25
  a pair of scissors and a ruler,https://storage.yandexcloud.net/svg-images-first-pack/goodapplicationsaccessoriessvg.png,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.5,4.25
  car key icon vector | price 1 credit usd $1,https://storage.yandexcloud.net/svg-images-first-pack/goodaigacarrentalbgsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a red circle with a white square on top of it,https://storage.yandexcloud.net/svg-images-first-pack/goodcartonnetcorrrugaicosvg.png,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.5
  happy new year clipart,https://storage.yandexcloud.net/svg-images-first-pack/goodcartoon3svg.png,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1515088218svg.png,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0
  a map of the world made up of many different colored lines,https://storage.yandexcloud.net/svg-images-first-pack/good1540243672svg.png,2.0,2.0,2.0,3.0,1.5,1.5,2.0,2.0,1.75
  a yellow and orange sphere with a white background,https://storage.yandexcloud.net/svg-images-first-pack/good1543789930svg.png,5.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0
  a logo with a colorful triangle on it,https://storage.yandexcloud.net/svg-images-first-pack/goodColombiaPerspectivasvg.png,4.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5
  yin yoga woman with chinese character,https://storage.yandexcloud.net/svg-images-first-pack/good1mujerTaoAmarillabyDGRAsvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"  a cartoon character with the words ""skinny jeans"" and ""carbs""",https://storage.yandexcloud.net/svg-images-first-pack/good58294mainTheBraininSpacepage52bodytransparentkidsvg.png,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
  a cartoon man wearing a hat and glasses,https://storage.yandexcloud.net/svg-images-first-pack/good1529045098svg.png,5.0,5.0,5.0,5.0,4.0,4.5,4.5,3.5,4.125
  a red aries symbol on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodAriesSymbolsvg.png,5.0,5.0,5.0,5.0,3.5,3.5,3.5,3.5,3.5
  a red heart shaped object on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodcorazonacapassvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  beke logo,https://storage.yandexcloud.net/svg-images-first-pack/goodBekesvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a logo for maslow cnc,https://storage.yandexcloud.net/svg-images-first-pack/good1547608064svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black and white drawing of a man and woman in the forest,https://storage.yandexcloud.net/svg-images-first-pack/good01Genesis311503svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.125
  family clipart family clipart family clipart family clipart family clipart family clipart family clip,https://storage.yandexcloud.net/svg-images-first-pack/good1523927793svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a colorful abstract pattern of musical notes,https://storage.yandexcloud.net/svg-images-first-pack/good1526400909svg.png,5.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0
  a cartoon boy with a red shirt and jeans,https://storage.yandexcloud.net/svg-images-first-pack/goodboythinkingsvg.png,5.0,5.0,4.0,2.0,4.5,5.0,4.0,3.0,4.125
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodaviatorsvg.png,1.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0
  a colorful triangle with a circle and a moon,https://storage.yandexcloud.net/svg-images-first-pack/goodCorner005gradientssvg.png,3.0,3.0,3.0,4.0,3.5,3.5,3.5,4.0,3.625
  a red heart with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1543955081svg.png,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.75
  odds document,https://storage.yandexcloud.net/svg-images-first-pack/good1305132793svg.png,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCross145svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black and white drawing of cactus plants and a sun,https://storage.yandexcloud.net/svg-images-first-pack/goodcactusgraysvg.png,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.75
  the flag of france in a circle,https://storage.yandexcloud.net/svg-images-first-pack/good15290540371svg.png,5.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,3.5
  angel with halo and blue dress,https://storage.yandexcloud.net/svg-images-first-pack/good1539605222svg.png,4.0,4.0,1.0,5.0,4.0,4.0,1.0,5.0,3.5
  anime girl with white hair and a scarf,https://storage.yandexcloud.net/svg-images-first-pack/goodartb1shsvg.png,3.0,3.0,4.0,3.0,4.0,4.0,4.5,4.0,4.125
  a cartoon pirate ship with flags flying,https://storage.yandexcloud.net/svg-images-first-pack/goodbarcosvg.png,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.75
  a red and purple logo with a red and purple object,https://storage.yandexcloud.net/svg-images-first-pack/good1512356041svg.png,2.0,3.0,4.0,4.0,2.0,3.0,3.5,3.0,2.875
  black metal logo with a skull and crossbones,https://storage.yandexcloud.net/svg-images-first-pack/goodBmtl3svg.png,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0
  a racing game with cars on the road,https://storage.yandexcloud.net/svg-images-first-pack/goodcategorysubcategoryracingsvg.png,2.0,4.0,4.0,2.0,2.5,3.0,2.5,1.5,2.375
  a black and white image of a wheel,https://storage.yandexcloud.net/svg-images-first-pack/goodclassiccarwheelsvg.png,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.5
  the logo for the crescent moon,https://storage.yandexcloud.net/svg-images-first-pack/good2Moonssvg.png,2.0,3.0,5.0,3.0,3.0,3.5,4.5,3.5,3.625
  a green globe with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1520860695svg.png,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5
  cheese icon with yellow dots,https://storage.yandexcloud.net/svg-images-first-pack/goodchedderslicesvg.png,1.0,2.0,2.0,2.0,2.5,3.0,3.0,3.0,2.875
  a red exclamation point on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodcopyrightbewaresvg.png,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
  carrot cake icon set,https://storage.yandexcloud.net/svg-images-first-pack/goodcarrotcakesvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a colorful hummingbird with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1538346537svg.png,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.0,4.375
  a woman's face with blue eyes and pink lips,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractFemaleFacesvg.png,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter322svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a white trash can icon on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodbbtrshesvg.png,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
  a red pencil is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good9859034083249svg.png,1.0,1.0,1.0,1.0,2.5,2.5,2.0,1.0,2.0
  a pencil with a line drawn on it,https://storage.yandexcloud.net/svg-images-first-pack/good1378746447svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a blue star with a central point,https://storage.yandexcloud.net/svg-images-first-pack/good1515943921svg.png,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.5,3.625
"  a blue background with a yellow, orange, green, and black object",https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractdrawingsvg.png,5.0,3.0,3.0,2.0,3.5,2.5,2.5,2.0,2.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1298888492svg.png,3.0,4.0,2.0,2.0,4.0,4.5,3.5,3.5,3.875
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1550356600svg.png,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1551860326svg.png,3.0,3.0,4.0,4.0,3.0,2.5,2.5,2.5,2.625
  medico's gallery - a place to buy and sell art,https://storage.yandexcloud.net/svg-images-first-pack/good1307185421svg.png,2.0,3.0,3.0,3.0,2.5,3.5,3.0,3.0,3.0
  a violin and bow on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1484832528svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.875
"  the logo for the band, yozal",https://storage.yandexcloud.net/svg-images-first-pack/good1430930743svg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a house with an accordion and a piano,https://storage.yandexcloud.net/svg-images-first-pack/good1511531315svg.png,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,4.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodchovynzAirplanesvg.png,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
  a colorful pattern of hearts on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulTulipsSeamlessPattern2svg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a cartoon bull wearing a top hat and chain,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoongnutophatmustachesvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a man sitting in a car with a steering wheel,https://storage.yandexcloud.net/svg-images-first-pack/goodaeroscootersvg.png,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.75
  a blue button with six numbers on it,https://storage.yandexcloud.net/svg-images-first-pack/goodbabayasinDialsvg.png,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.5
  a cartoon man is sleeping on a chair with a z in the air,https://storage.yandexcloud.net/svg-images-first-pack/good1533392481svg.png,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.25
  a white light bulb with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1336335950svg.png,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.5
  a police officer in uniform holding a gun,https://storage.yandexcloud.net/svg-images-first-pack/goodairraidwardensvg.png,4.0,3.0,3.0,3.0,4.0,3.5,3.5,3.5,3.625
  a yellow whistle on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1384962823svg.png,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5
  ice cream cone with red and pink swirls,https://storage.yandexcloud.net/svg-images-first-pack/goodcibo00WildBerryIceCreamConesvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  usa clipart free download,https://storage.yandexcloud.net/svg-images-first-pack/good3DAmericaMapFlagEnhancedsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  an atari joystick on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodbrunurbRetroJoystick002svg.png,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.25
  a spoon is shown on a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1418358989svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon of a girl sitting in front of a pink house,https://storage.yandexcloud.net/svg-images-first-pack/goodBabaYagasvg.png,1.0,1.0,1.0,1.0,1.0,1.5,1.0,2.5,1.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good15thCenturyCostume5svg.png,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5
  the logo for the comic book series dracula,https://storage.yandexcloud.net/svg-images-first-pack/good1572098359maninblacksvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a kitchen scale with a bowl on it,https://storage.yandexcloud.net/svg-images-first-pack/good1305524071svg.png,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.75
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodChefWithTurkeysvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  the logo for art for tibet,https://storage.yandexcloud.net/svg-images-first-pack/goodArtforTibet2016031021svg.png,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.5
  a set of eggplants with different colors and sizes,https://storage.yandexcloud.net/svg-images-first-pack/good1501873094svg.png,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0
  a pink and red background with a pattern,https://storage.yandexcloud.net/svg-images-first-pack/goodBackgroundPattern238svg.png,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
"  a metal gauge with a red, green and yellow color",https://storage.yandexcloud.net/svg-images-first-pack/good1368618203svg.png,4.0,4.0,4.0,4.0,2.5,2.5,2.5,2.5,2.5
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcoolsvg.png,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/good1298483681svg.png,3.0,4.0,5.0,5.0,2.0,2.5,3.0,3.0,2.625
  a blue and white bus icon,https://storage.yandexcloud.net/svg-images-first-pack/goodbusiconsvg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  a cartoon bird with a stethoscope on its head,https://storage.yandexcloud.net/svg-images-first-pack/goodAvatarVautour01svg.png,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.5,4.625
  the word truth is surrounded by many colorful people,https://storage.yandexcloud.net/svg-images-first-pack/good1542413669svg.png,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
  a man in a suit and hat holding an umbrella,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardSignorMacaronisvg.png,3.0,3.0,3.0,3.0,3.5,4.0,4.0,3.5,3.75
  a green tree with a black background,https://storage.yandexcloud.net/svg-images-first-pack/good1552218938svg.png,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5
  a paint brush and a sign with the letter z,https://storage.yandexcloud.net/svg-images-first-pack/good1308699255svg.png,3.0,3.0,3.0,3.0,3.5,4.0,3.5,3.5,3.625
  a man in a striped shirt and blue pants holding a paddle,https://storage.yandexcloud.net/svg-images-first-pack/goodCigCardRowingClubsvg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a cartoon woman holding a baby and wearing a hat,https://storage.yandexcloud.net/svg-images-first-pack/good1545400245svg.png,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.25
  a black and white image of a spiral in a circle,https://storage.yandexcloud.net/svg-images-first-pack/goodAbstractVortex68svg.png,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.75
  spider clipart free download,https://storage.yandexcloud.net/svg-images-first-pack/good1554031359svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a shopping basket with a hand pointing to a finger,https://storage.yandexcloud.net/svg-images-first-pack/good1317292983svg.png,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.5
